Dataset,Rate,F1,Precision,Recall,AUC
Bank Marketing,0.10928571428571429,0.507393300487419,0.4360777454254679,0.9182549303178525,0.0
Breast Cancer,0.12666666666666668,0.6053390603945951,0.5291615853440831,0.9148674468136987,0.0
Digits,0.10928571428571429,0.6578934176176829,0.643848498208315,0.9504718681403075,0.0
Friedman Reg,0.10928571428571429,0.5154664926633833,0.4670202179097633,0.8301376488095238,0.0
Loan Data,0.10928571428571429,0.46438378031934396,0.3774373655158865,0.9182959656084656,0.0
Moons,0.10928571428571429,0.3854183698258194,0.3087359751932501,0.858327132936508,0.0
Nigerian Fraud,0.10928571428571429,0.5266707056369093,0.4605564989895246,0.8984162414965987,0.0
Syn Hd,0.10928571428571429,0.5074190647317387,0.4483542373785997,0.9064880952380953,0.0
Wine,0.15,0.71016476260109,0.6508463200981333,0.9005357142857143,0.0
